Age;3H;3He(trit);3Ho;3H/3Ho;SF6
219;2,303184457;20,86195055;23,16486042;0,134753228;0,083338027
220;2,289422941;20,76717899;23,05632909;0,134753228;0,082283943
221;2,275728331;20,67270773;22,94816496;0,134753228;0,081245052
222;2,262100552;20,57854153;22,84037064;0,134753228;0,080221104
223;2,248539529;20,48467883;22,73294864;0,134753228;0,079211855
224;2,235045178;20,39112421;22,62590136;0,134753228;0,078217063
225;2,221617411;20,29788209;22,51923113;0,134753228;0,077236493
226;2,208256135;20,20495075;22,41294243;0,134753228;0,076269912
227;2,194961252;20,11233647;22,30703291;0,134753228;0,075317093
228;2,18173266;20,02003738;22,20150688;0,134753228;0,074377813
229;2,168570251;19,92805959;22,09636632;0,134753228;0,073451852
230;2,155473914;19,83640109;21,99161311;0,134753228;0,072538995
231;2,142443534;19,74506781;21,88725127;0,134753228;0,071639032
232;2,129478989;19,6540596;21,78327815;0,134753228;0,070751754
233;2,116580155;19,56337628;21,67969759;0,134753228;0,069876959
234;2,103746905;19,4730235;21,57651335;0,134753228;0,069014447
235;2,090979106;19,38300093;21,4737226;0,134753228;0,06816402
236;2,078276622;19,29330821;21,37132895;0,134753228;0,067325488
237;2,065639313;19,20395071;21,2693359;0,134753228;0,06649866
238;2,053067036;19,11492795;21,16774047;0,134753228;0,065683351
239;2,040559644;19,02624129;21,06654815;0,134753228;0,064879379
240;2,028116987;18,93789206;20,96575587;0,134753228;0,064086564
241;2,015738912;18,84988149;20,86536893;0,134753228;0,063304731
242;2,003425261;18,76220892;20,76538627;0,134753228;0,062533707
243;1,991175876;18,67487923;20,66580679;0,134753228;0,061773323
244;1,978990592;18,58789162;20,56663555;0,134753228;0,061023411
245;1,966869244;18,5012471;20,46787132;0,134753228;0,060283809
246;1,954811664;18,41494664;20,36951287;0,134753228;0,059554355
247;1,94281768;18,32899115;20,27156501;0,134753228;0,058834891
248;1,930887118;18,24338148;20,17402638;0,134753228;0,058125263
249;1,919019801;18,15812025;20,07689761;0,134753228;0,057425318
250;1,90721555;18,07320459;19,98017728;0,134753228;0,056734906
251;1,895474183;17,98863701;19,8838699;0,134753228;0,056053881
252;1,883795516;17,90441818;19,78797396;0,134753228;0,055382097
253;1,872179362;17,82054869;19,69248987;0,134753228;0,054719413
254;1,860625533;17,73702912;19,597418;0,134753228;0,054065689
255;1,849133838;17,65386175;19,50275868;0,134753228;0,053420788
256;1,837704084;17,5710435;19,40851218;0,134753228;0,052784576
257;1,826336075;17,48857657;19,31467874;0,134753228;0,052156919
258;1,815029616;17,4064631;19,22125855;0,134753228;0,051537688
259;1,803784507;17,32469994;19,12825175;0,134753228;0,050926756
260;1,792600547;17,24328913;19,03565844;0,134753228;0,050323995
261;1,781477534;17,16223266;18,94347869;0,134753228;0,049729283
262;1,770415264;17,08152731;18,8517125;0,134753228;0,049142498
263;1,759413531;17,00117668;18,76036174;0,134753228;0,048563521
264;1,748472128;16,92117752;18,66942258;0,134753228;0,047992235
265;1,737590845;16,84153332;18,57889682;0,134753228;0,047428524
266;1,726769472;16,76224247;18,48878431;0,134753228;0,046872275
267;1,716007797;16,68330333;18,39908672;0,134753228;0,046323376
268;1,705305608;16,60471926;18,30980016;0,134753228;0,045781717
269;1,694662689;16,52648689;18,22092806;0,134753228;0,045247192
270;1,684078824;16,44860949;18,13246648;0,134753228;0,044719694
271;1,673553798;16,37108528;18,04441694;0,134753228;0,044199118
272;1,66308739;16,29391416;17,9567809;0,134753228;0,043685363
273;1,652679383;16,21709435;17,86955439;0,134753228;0,043178328
274;1,642329556;16,1406289;17,78274058;0,134753228;0,042677913
275;1,632037687;16,06451599;17,69633548;0,134753228;0,042184022
276;1,621803554;15,98875535;17,61034215;0,134753228;0,041696558
277;1,611626933;15,91334673;17,52475834;0,134753228;0,041215427
278;1,601507601;15,83828983;17,43958178;0,134753228;0,040740537
279;1,591445333;15,76358274;17,3548154;0,134753228;0,040271797
280;1,581439901;15,68922828;17,27045689;0,134753228;0,039809116
281;1,571491081;15,61522448;17,18650393;0,134753228;0,039352407
282;1,561598644;15,54157094;17,10295932;0,134753228;0,038901583
283;1,551762362;15,46826725;17,0198207;0,134753228;0,038456558
284;1,541982008;15,39531447;16,93708737;0,134753228;0,03801725
285;1,53225735;15,32270907;16,85475696;0,134753228;0,037583574
286;1,52258816;15,2504521;16,77283212;0,134753228;0,03715545
287;1,512974208;15,17854302;16,69131041;0,134753228;0,036732799
288;1,503415261;15,10698131;16,61019106;0,134753228;0,036315541
289;1,493911089;15,03576641;16,52947328;0,134753228;0,035903599
290;1,48446146;14,96489923;16,44915625;0,134753228;0,035496898
291;1,475066142;14,89437618;16,36923915;0,134753228;0,035095361
292;1,465724903;14,82419813;16,28972113;0,134753228;0,034698917
293;1,456437508;14,75436445;16,2106013;0,134753228;0,034307491
294;1,447203725;14,68487595;16,13187878;0,134753228;0,033921013
295;1,438023321;14,61572902;16,05355267;0,134753228;0,033539412
296;1,428896062;14,54692442;15,97562363;0,134753228;0,03316262
297;1,419821713;14,47846291;15,89808752;0,134753228;0,032790569
298;1,410800041;14,41034084;15,82094497;0,134753228;0,032423191
299;1,401830811;14,34256038;15,74419502;0,134753228;0,032060421
300;1,392913789;14,27511788;15,66783668;0,134753228;0,031702194
301;1,38404874;14,20801542;15,59187047;0,134753228;0,031348446
302;1,375235429;14,14124938;15,51629227;0,134753228;0,030999114
303;1,366473623;14,07482178;15,4411026;0,134753228;0,030654137
304;1,357763085;14,00873038;15,36630193;0,134753228;0,030313454
305;1,349103581;13,94297296;15,29188613;0,134753228;0,029977005
306;1,340494877;13,87755145;15,21785717;0,134753228;0,029644731
307;1,331936738;13,81246224;15,14421092;0,134753228;0,029316574
308;1,323428929;13,7477072;15,07094929;0,134753228;0,028992477
309;1,314971216;13,68328407;14,99806816;0,134753228;0,028672383
310;1,306563363;13,61919194;14,92556939;0,134753228;0,028356238
311;1,298205137;13,55542856;14,85344885;0,134753228;0,028043986
312;1,289896304;13,49199573;14,78170836;0,134753228;0,027735575
313;1,281636629;13,42889114;14,7103438;0,134753228;0,02743095
314;1,273425879;13,36611386;14,63935693;0,134753228;0,027130061
315;1,26526382;13,30366293;14,5687451;0,134753228;0,026832857
316;1,257150219;13,24153739;14,49850565;0,134753228;0,026539285
317;1,249084841;13,17973627;14,4286403;0,134753228;0,026249298
318;1,241067456;13,11825859;14,35914635;0,134753228;0,025962846
319;1,233097829;13,05710335;14,2900226;0,134753228;0,02567988
320;1,225175728;12,99626956;14,22126639;0,134753228;0,025400354
321;1,217300922;12,9357562;14,15287933;0,134753228;0,025124221
322;1,209473178;12,87556226;14,08485873;0,134753228;0,024851434
323;1,201692265;12,8156867;14,01720334;0,134753228;0,024581949
324;1,193957953;12,75612851;13,9499119;0,134753228;0,024315721
325;1,18627001;12,69688663;13,88298314;0,134753228;0,024052705
326;1,178628207;12,63796001;13,81641577;0,134753228;0,02379286
327;1,171032313;12,57934761;13,75020851;0,134753228;0,023536141
328;1,163482098;12,52104961;13,68436006;0,134753228;0,023282507
