# Date, Tracer1, Tracer2
1910-06,0.188,-0.000
1910-07,0.188,0.000
1910-08,0.188,0.000
1910-09,0.188,0.000
1910-10,0.188,0.000
1910-11,0.188,0.000
1910-12,0.188,0.000
1911-01,0.188,0.000
1911-02,0.188,0.000
1911-03,0.188,0.000
1911-04,0.188,0.000
1911-05,0.188,0.000
1911-06,0.188,0.000
1911-07,0.188,0.000
1911-08,0.188,-0.000
1911-09,0.188,0.000
1911-10,0.188,0.000
1911-11,0.188,0.000
1911-12,0.188,0.000
1912-01,0.188,0.000
1912-02,0.188,0.000
1912-03,0.188,0.000
1912-04,0.188,0.000
1912-05,0.188,0.000
1912-06,0.188,-0.000
1912-07,0.188,0.000
1912-08,0.188,0.000
1912-09,0.188,0.000
1912-10,0.188,0.000
1912-11,0.188,0.000
1912-12,0.188,0.000
1913-01,0.188,0.000
1913-02,0.188,0.000
1913-03,0.188,0.000
1913-04,0.188,0.000
1913-05,0.188,0.000
1913-06,0.188,0.001
1913-07,0.188,0.002
1913-08,0.188,0.003
1913-09,0.189,0.005
1913-10,0.189,0.006
1913-11,0.189,0.008
1913-12,0.189,0.010
1914-01,0.189,0.012
1914-02,0.189,0.014
1914-03,0.189,0.016
1914-04,0.189,0.018
1914-05,0.189,0.021
1914-06,0.189,0.023
1914-07,0.189,0.025
1914-08,0.188,0.028
1914-09,0.188,0.031
1914-10,0.188,0.033
1914-11,0.188,0.036
1914-12,0.188,0.039
1915-01,0.188,0.042
1915-02,0.188,0.045
1915-03,0.188,0.048
1915-04,0.188,0.051
1915-05,0.188,0.054
1915-06,0.188,0.058
1915-07,0.188,0.061
1915-08,0.188,0.065
1915-09,0.188,0.068
1915-10,0.188,0.072
1915-11,0.188,0.075
1915-12,0.188,0.079
1916-01,0.188,0.083
1916-02,0.188,0.087
1916-03,0.188,0.091
1916-04,0.188,0.095
1916-05,0.188,0.099
1916-06,0.188,0.103
1916-07,0.188,0.107
1916-08,0.188,0.111
1916-09,0.188,0.115
1916-10,0.188,0.120
1916-11,0.188,0.124
1916-12,0.188,0.128
1917-01,0.188,0.133
1917-02,0.188,0.137
1917-03,0.188,0.142
1917-04,0.188,0.146
1917-05,0.188,0.151
1917-06,0.188,0.156
1917-07,0.188,0.160
1917-08,0.188,0.165
1917-09,0.188,0.170
1917-10,0.188,0.175
1917-11,0.188,0.180
1917-12,0.188,0.185
1918-01,0.188,0.190
1918-02,0.189,0.195
1918-03,0.189,0.200
1918-04,0.189,0.205
1918-05,0.189,0.210
1918-06,0.189,0.215
1918-07,0.189,0.220
1918-08,0.189,0.225
1918-09,0.189,0.230
1918-10,0.189,0.236
1918-11,0.189,0.241
1918-12,0.189,0.246
1919-01,0.190,0.252
1919-02,0.190,0.257
1919-03,0.190,0.263
1919-04,0.190,0.268
1919-05,0.191,0.274
1919-06,0.191,0.279
1919-07,0.192,0.285
1919-08,0.192,0.290
1919-09,0.193,0.296
1919-10,0.193,0.301
1919-11,0.194,0.307
1919-12,0.195,0.313
1920-01,0.195,0.318
1920-02,0.196,0.324
1920-03,0.197,0.330
1920-04,0.199,0.335
1920-05,0.200,0.341
1920-06,0.202,0.347
1920-07,0.203,0.353
1920-08,0.205,0.358
1920-09,0.208,0.364
1920-10,0.210,0.370
1920-11,0.213,0.376
1920-12,0.216,0.382
1921-01,0.220,0.388
1921-02,0.223,0.394
1921-03,0.228,0.400
1921-04,0.232,0.406
1921-05,0.237,0.411
1921-06,0.243,0.417
1921-07,0.250,0.423
1921-08,0.257,0.429
1921-09,0.265,0.435
1921-10,0.274,0.441
1921-11,0.283,0.447
1921-12,0.294,0.453
1922-01,0.305,0.459
1922-02,0.318,0.465
1922-03,0.333,0.471
1922-04,0.349,0.478
1922-05,0.367,0.484
1922-06,0.386,0.490
1922-07,0.407,0.496
1922-08,0.429,0.502
1922-09,0.453,0.508
1922-10,0.480,0.514
1922-11,0.511,0.520
1922-12,0.544,0.527
1923-01,0.579,0.533
1923-02,0.618,0.539
1923-03,0.659,0.545
1923-04,0.704,0.551
1923-05,0.754,0.557
1923-06,0.808,0.564
1923-07,0.865,0.570
1923-08,0.928,0.576
1923-09,0.995,0.582
1923-10,1.066,0.588
1923-11,1.147,0.595
1923-12,1.232,0.601
1924-01,1.321,0.607
1924-02,1.417,0.613
1924-03,1.521,0.619
1924-04,1.631,0.625
1924-05,1.749,0.632
1924-06,1.876,0.638
1924-07,2.012,0.644
1924-08,2.158,0.650
1924-09,2.315,0.656
1924-10,2.483,0.663
1924-11,2.659,0.669
1924-12,2.849,0.675
1925-01,3.048,0.681
1925-02,3.259,0.688
1925-03,3.489,0.694
1925-04,3.727,0.700
1925-05,3.977,0.706
1925-06,4.246,0.712
1925-07,4.532,0.719
1925-08,4.829,0.725
1925-09,5.135,0.731
1925-10,5.463,0.737
1925-11,5.815,0.743
1925-12,6.183,0.750
1926-01,6.570,0.756
1926-02,6.971,0.762
1926-03,7.391,0.768
1926-04,7.835,0.774
1926-05,8.294,0.781
1926-06,8.783,0.787
1926-07,9.299,0.793
1926-08,9.818,0.799
1926-09,10.360,0.805
1926-10,10.924,0.812
1926-11,11.512,0.818
1926-12,12.137,0.824
1927-01,12.772,0.830
1927-02,13.429,0.836
1927-03,14.118,0.843
1927-04,14.828,0.849
1927-05,15.574,0.855
1927-06,16.333,0.861
1927-07,17.092,0.867
1927-08,17.866,0.873
1927-09,18.661,0.879
1927-10,19.486,0.886
1927-11,20.344,0.892
1927-12,21.225,0.898
1928-01,22.133,0.904
1928-02,23.058,0.910
1928-03,24.009,0.916
1928-04,24.976,0.922
1928-05,25.976,0.929
1928-06,27.003,0.935
1928-07,28.004,0.941
1928-08,29.000,0.947
1928-09,30.027,0.953
1928-10,31.078,0.959
1928-11,32.144,0.965
1928-12,33.231,0.971
1929-01,34.318,0.977
1929-02,35.396,0.983
1929-03,36.463,0.989
1929-04,37.541,0.995
1929-05,38.658,1.001
1929-06,39.788,1.007
1929-07,40.891,1.013
1929-08,41.995,1.019
1929-09,43.122,1.025
1929-10,44.232,1.031
1929-11,45.337,1.037
1929-12,46.450,1.043
1930-01,47.539,1.049
1930-02,48.625,1.054
1930-03,49.728,1.060
1930-04,50.832,1.066
1930-05,51.931,1.072
1930-06,52.981,1.078
1930-07,53.988,1.084
1930-08,55.008,1.090
1930-09,56.032,1.096
1930-10,57.038,1.102
1930-11,58.071,1.108
1930-12,59.085,1.114
1931-01,60.038,1.120
1931-02,60.974,1.126
1931-03,61.879,1.131
1931-04,62.742,1.137
1931-05,63.581,1.143
1931-06,64.388,1.149
1931-07,65.156,1.155
1931-08,65.899,1.160
1931-09,66.619,1.166
1931-10,67.343,1.172
1931-11,68.015,1.178
1931-12,68.637,1.183
1932-01,69.233,1.189
1932-02,69.785,1.195
1932-03,70.336,1.201
1932-04,70.862,1.206
1932-05,71.334,1.212
1932-06,71.767,1.218
1932-07,72.186,1.223
1932-08,72.575,1.229
1932-09,72.928,1.235
1932-10,73.257,1.240
1932-11,73.548,1.246
1932-12,73.826,1.252
1933-01,74.085,1.257
1933-02,74.280,1.263
1933-03,74.443,1.268
1933-04,74.588,1.274
1933-05,74.709,1.279
1933-06,74.802,1.285
1933-07,74.861,1.291
1933-08,74.902,1.296
1933-09,74.923,1.302
1933-10,74.910,1.307
1933-11,74.865,1.313
1933-12,74.800,1.318
1934-01,74.711,1.324
1934-02,74.611,1.329
1934-03,74.494,1.335
1934-04,74.344,1.340
1934-05,74.175,1.346
1934-06,74.000,1.351
1934-07,73.807,1.357
1934-08,73.583,1.362
1934-09,73.338,1.368
1934-10,73.085,1.373
1934-11,72.817,1.378
1934-12,72.532,1.384
1935-01,72.237,1.389
1935-02,71.926,1.395
1935-03,71.600,1.400
1935-04,71.259,1.405
1935-05,70.905,1.410
1935-06,70.547,1.416
1935-07,70.180,1.421
1935-08,69.808,1.426
1935-09,69.427,1.431
1935-10,69.036,1.437
1935-11,68.640,1.442
1935-12,68.240,1.447
1936-01,67.833,1.453
1936-02,67.420,1.458
1936-03,67.004,1.463
1936-04,66.582,1.468
1936-05,66.156,1.474
1936-06,65.728,1.479
1936-07,65.296,1.484
1936-08,64.862,1.489
1936-09,64.426,1.494
1936-10,63.988,1.499
1936-11,63.549,1.505
1936-12,63.110,1.510
1937-01,62.669,1.515
1937-02,62.228,1.520
1937-03,61.787,1.525
1937-04,61.345,1.530
1937-05,60.904,1.535
1937-06,60.463,1.541
1937-07,60.023,1.546
1937-08,59.584,1.551
1937-09,59.146,1.556
1937-10,58.709,1.561
1937-11,58.274,1.566
1937-12,57.841,1.571
1938-01,57.409,1.576
1938-02,56.979,1.581
1938-03,56.551,1.586
1938-04,56.125,1.591
1938-05,55.702,1.596
1938-06,55.280,1.601
1938-07,54.861,1.606
1938-08,54.444,1.611
1938-09,54.029,1.616
1938-10,53.617,1.621
1938-11,53.207,1.626
1938-12,52.801,1.631
1939-01,52.396,1.636
1939-02,51.994,1.640
1939-03,51.595,1.645
1939-04,51.199,1.650
1939-05,50.805,1.655
1939-06,50.414,1.660
1939-07,50.026,1.665
1939-08,49.640,1.670
1939-09,49.258,1.675
1939-10,48.878,1.680
1939-11,48.500,1.684
1939-12,48.126,1.689
1940-01,47.754,1.694
1940-02,47.385,1.699
1940-03,47.019,1.704
1940-04,46.655,1.708
1940-05,46.294,1.713
1940-06,45.936,1.718
1940-07,45.581,1.722
1940-08,45.228,1.727
1940-09,44.878,1.732
1940-10,44.531,1.737
1940-11,44.186,1.741
1940-12,43.844,1.746
1941-01,43.504,1.751
1941-02,43.168,1.755
1941-03,42.833,1.760
1941-04,42.502,1.765
1941-05,42.172,1.769
1941-06,41.846,1.774
1941-07,41.522,1.778
1941-08,41.200,1.783
1941-09,40.881,1.787
1941-10,40.564,1.792
1941-11,40.250,1.797
1941-12,39.938,1.801
1942-01,39.629,1.806
1942-02,39.322,1.810
1942-03,39.018,1.815
1942-04,38.715,1.819
1942-05,38.416,1.823
1942-06,38.118,1.828
1942-07,37.823,1.832
1942-08,37.530,1.837
