tts,weights
8.853544e+02,2.766153e-04
9.986878e+02,2.484176e-04
8.965153e+02,2.586253e-04
9.943418e+02,2.624127e-04
8.977338e+02,2.799563e-04
1.007431e+03,2.624127e-04
9.033843e+02,2.766153e-04
1.031074e+03,2.855078e-04
9.369140e+02,3.061524e-04
1.037640e+03,2.683318e-04
9.371826e+02,3.009766e-04
1.083580e+03,2.935093e-04
9.813344e+02,3.061524e-04
1.089861e+03,2.855078e-04
9.813344e+02,3.061524e-04
1.129891e+03,3.042260e-04
1.015973e+03,3.138490e-04
1.132303e+03,2.935093e-04
1.015973e+03,3.138490e-04
1.147759e+03,3.042260e-04
1.044423e+03,3.477709e-04
1.147759e+03,3.042260e-04
1.044423e+03,3.477709e-04
1.134727e+03,3.378277e-04
1.040666e+03,3.610417e-04
1.134727e+03,3.378277e-04
1.040666e+03,3.610417e-04
3.291406e+03,3.338363e-04
3.080588e+03,3.435171e-04
3.291406e+03,3.338363e-04
3.080588e+03,3.435171e-04
2.789026e+03,3.496970e-04
2.618289e+03,3.621687e-04
2.789026e+03,3.496970e-04
2.618289e+03,3.621687e-04
3.513285e+03,3.731442e-04
3.175819e+03,3.890680e-04
3.513285e+03,3.731442e-04
3.175819e+03,3.890680e-04
2.132970e+03,3.731442e-04
2.018877e+03,3.890680e-04
2.132970e+03,3.731442e-04
2.018877e+03,3.890680e-04
3.612763e+03,4.244481e-04
3.612763e+03,4.244481e-04
2.763385e+03,4.043258e-04
2.512799e+03,4.244481e-04
2.763385e+03,4.043258e-04
2.512799e+03,4.244481e-04
3.308474e+03,4.430962e-04
2.971127e+03,4.681871e-04
3.449573e+03,4.043258e-04
2.971127e+03,4.681871e-04
2.177754e+03,4.430962e-04
1.988304e+03,4.681871e-04
2.177754e+03,4.430962e-04
1.988304e+03,4.681871e-04
3.553835e+03,4.887952e-04
3.650834e+03,4.430962e-04
2.812735e+03,4.601447e-04
2.501750e+03,4.887952e-04
2.949343e+03,4.205307e-04
2.501750e+03,4.887952e-04
3.174678e+03,5.047860e-04
3.295915e+03,4.601447e-04
2.467689e+03,4.601447e-04
2.192071e+03,5.400225e-04
2.607832e+03,4.601447e-04
2.222403e+03,4.887952e-04
3.525283e+03,4.107597e-04
2.992951e+03,4.718486e-04
3.594715e+03,4.107597e-04
3.059852e+03,5.047860e-04
2.273451e+03,4.718486e-04
1.964397e+03,5.526099e-04
2.334589e+03,4.718486e-04
2.013100e+03,5.400225e-04
3.429787e+03,4.152959e-04
2.886274e+03,4.759737e-04
3.462803e+03,4.152959e-04
2.923735e+03,4.718486e-04
2.114975e+03,4.759737e-04
2.162354e+03,5.127974e-04
1.887510e+03,5.526099e-04
3.307649e+03,4.140850e-04
2.803593e+03,4.726542e-04
3.349160e+03,4.428879e-04
2.866674e+03,4.759737e-04
2.000402e+03,5.118050e-04
2.046533e+03,4.759737e-04
3.086454e+03,4.381918e-04
2.696241e+03,5.035796e-04
3.217928e+03,4.381918e-04
2.779922e+03,4.726542e-04
1.878264e+03,5.035796e-04
1.923840e+03,5.035796e-04
2.842381e+03,4.920733e-04
2.521058e+03,5.644286e-04
2.969569e+03,4.643889e-04
2.613879e+03,4.920733e-04
1.827305e+03,5.345480e-04
3.567440e+03,5.111792e-04
2.678614e+03,5.492448e-04
2.425060e+03,5.921774e-04
2.731741e+03,5.205883e-04
2.444647e+03,5.644286e-04
3.620264e+03,5.733595e-04
3.338924e+03,5.733595e-04
3.412455e+03,5.417988e-04
2.533439e+03,6.041978e-04
2.332559e+03,6.380938e-04
2.578846e+03,5.773436e-04
2.356912e+03,6.169338e-04
3.520067e+03,6.358063e-04
3.277174e+03,6.358063e-04
3.553855e+03,6.050326e-04
3.291073e+03,6.050326e-04
2.507281e+03,6.516048e-04
2.325989e+03,6.553477e-04
2.511156e+03,6.291528e-04
2.325239e+03,6.553477e-04
3.531395e+03,6.645143e-04
3.311825e+03,6.645143e-04
3.525384e+03,6.645143e-04
3.296695e+03,6.358063e-04
2.536591e+03,6.710194e-04
2.370671e+03,6.783113e-04
2.521357e+03,6.516048e-04
2.352410e+03,6.686762e-04
3.607717e+03,7.226870e-04
3.410584e+03,6.899024e-04
